L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 0.000000000000000000e+00 9.393939393939393714e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.545454545454546205e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.696969696969696961e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.848484848484847717e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.000000000000000021e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.015151515151515096e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.030303030303030346e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.045454545454545421e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.060606060606060670e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.075757575757575746e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.090909090909090995e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.106060606060606070e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.121212121212121146e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.136363636363636395e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.151515151515151471e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.166666666666666720e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.181818181818181795e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.196969696969697045e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.212121212121212120e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.227272727272727196e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.242424242424242445e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.257575757575757520e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.272727272727272770e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.287878787878787845e-02 3.512815038853034366e-11 3.512815038853034366e-11
