kx  E  alpha(eV.A)  gap_meV
1.600000000000000131e-04 1.199999999999999822e+01 9.003492702134226200e-02 2.881117664450816207e+01
2.400000000000000332e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000332e-04 5.999999999999999778e-01 2.070512511330422495e-02 9.938460054263048349e+00
2.400000000000000332e-04 1.199999999999999956e+00 4.033246325058688353e-02 1.935958236033621205e+01
2.400000000000000332e-04 1.799999999999999822e+00 5.818066908273217958e-02 2.792672115971518565e+01
2.400000000000000332e-04 2.399999999999999911e+00 7.375360799715575955e-02 3.540173183877101337e+01
2.400000000000000332e-04 2.999999999999999556e+00 8.668186526372449741e-02 4.160729532668751318e+01
2.400000000000000332e-04 3.599999999999999645e+00 9.678071716774475086e-02 4.645474424055592522e+01
2.400000000000000332e-04 4.199999999999999289e+00 1.040856182483740483e-01 4.996109675978188847e+01
2.400000000000000332e-04 4.799999999999999822e+00 1.088289742818206035e-01 5.223790765492356059e+01
2.400000000000000332e-04 5.399999999999998579e+00 1.113769295656217573e-01 5.346092619049058925e+01
2.400000000000000332e-04 5.999999999999999112e+00 1.121558336009109841e-01 5.383480012807056880e+01
2.400000000000000332e-04 6.599999999999999645e+00 1.115906985220340014e-01 5.356353528974955225e+01
2.400000000000000332e-04 7.199999999999999289e+00 1.100650631630069598e-01 5.283123031886438525e+01
2.400000000000000332e-04 7.799999999999998934e+00 1.079015294372901862e-01 5.179273413132013104e+01
2.400000000000000332e-04 8.399999999999998579e+00 1.053574536723987098e-01 5.057157776262866378e+01
2.400000000000000332e-04 9.000000000000000000e+00 1.026296333505950925e-01 4.926222400680746460e+01
2.400000000000000332e-04 9.599999999999999645e+00 9.986315512889479273e-02 4.793431446264983720e+01
2.400000000000000332e-04 1.019999999999999929e+01 9.716130317270189887e-02 4.663742552088456961e+01
2.400000000000000332e-04 1.079999999999999716e+01 9.459485258013090869e-02 4.540552923770757587e+01
2.400000000000000332e-04 1.140000000000000036e+01 9.221002433124436681e-02 4.426081167918649584e+01
2.400000000000000332e-04 1.199999999999999822e+01 9.003492702134371917e-02 4.321676496696347414e+01
3.200000000000000262e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000262e-04 5.999999999999999778e-01 2.070512511330451985e-02 1.325128007242937223e+01
3.200000000000000262e-04 1.199999999999999956e+00 4.033246325058962439e-02 2.581277648020354221e+01
3.200000000000000262e-04 1.799999999999999822e+00 5.818066908273094445e-02 3.723562821294645886e+01
3.200000000000000262e-04 2.399999999999999911e+00 7.375360799715648119e-02 4.720230911819424335e+01
3.200000000000000262e-04 2.999999999999999556e+00 8.668186526372309575e-02 5.547639376887389062e+01
3.200000000000000262e-04 3.599999999999999645e+00 9.678071716774160060e-02 6.193965898709449647e+01
3.200000000000000262e-04 4.199999999999999289e+00 1.040856182483712727e-01 6.661479567918182454e+01
3.200000000000000262e-04 4.799999999999999822e+00 1.088289742818198264e-01 6.965054354051910934e+01
3.200000000000000262e-04 5.399999999999998579e+00 1.113769295656179131e-01 7.128123492160243302e+01
3.200000000000000262e-04 5.999999999999999112e+00 1.121558336009127743e-01 7.177973350425831711e+01
3.200000000000000262e-04 6.599999999999999645e+00 1.115906985220255082e-01 7.141804705312199530e+01
3.200000000000000262e-04 7.199999999999999289e+00 1.100650631630119142e-01 7.044164042614708876e+01
3.200000000000000262e-04 7.799999999999998934e+00 1.079015294372897976e-01 6.905697883956285921e+01
3.200000000000000262e-04 8.399999999999998579e+00 1.053574536724004307e-01 6.742877035001426123e+01
3.200000000000000262e-04 9.000000000000000000e+00 1.026296333505934827e-01 6.568296534519014074e+01
3.200000000000000262e-04 9.599999999999999645e+00 9.986315512890607538e-02 6.391241928441204578e+01
3.200000000000000262e-04 1.019999999999999929e+01 9.716130317270424421e-02 6.218323403175962483e+01
3.200000000000000262e-04 1.079999999999999716e+01 9.459485258012707842e-02 6.054070565221503131e+01
3.200000000000000262e-04 1.140000000000000036e+01 9.221002433124794728e-02 5.901441557169817287e+01
3.200000000000000262e-04 1.199999999999999822e+01 9.003492702134613390e-02 5.762235329448417076e+01
4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000192e-04 5.999999999999999778e-01 2.070512511330467598e-02 1.656410009052804000e+01
4.000000000000000192e-04 1.199999999999999956e+00 4.033246325058770926e-02 3.226597060050108468e+01
4.000000000000000192e-04 1.799999999999999822e+00 5.818066908273425430e-02 4.654453526617499648e+01
4.000000000000000192e-04 2.399999999999999911e+00 7.375360799715791060e-02 5.900288639780092126e+01
4.000000000000000192e-04 2.999999999999999556e+00 8.668186526372366474e-02 6.934549221094577831e+01
4.000000000000000192e-04 3.599999999999999645e+00 9.678071716774207245e-02 7.742457373432695533e+01
4.000000000000000192e-04 4.199999999999999289e+00 1.040856182483688858e-01 8.326849459914728868e+01
4.000000000000000192e-04 4.799999999999999822e+00 1.088289742818160377e-01 8.706317942496627893e+01
4.000000000000000192e-04 5.399999999999998579e+00 1.113769295656364677e-01 8.910154365290162559e+01
4.000000000000000192e-04 5.999999999999999112e+00 1.121558336009156609e-01 8.972466688144525904e+01
4.000000000000000192e-04 6.599999999999999645e+00 1.115906985220396497e-01 8.927255881768097368e+01
4.000000000000000192e-04 7.199999999999999289e+00 1.100650631630048781e-01 8.805205053038362450e+01
4.000000000000000192e-04 7.799999999999998934e+00 1.079015294372887984e-01 8.632122355058113783e+01
4.000000000000000192e-04 8.399999999999998579e+00 1.053574536723771299e-01 8.428596293632433856e+01
4.000000000000000192e-04 9.000000000000000000e+00 1.026296333505945096e-01 8.210370668186584453e+01
4.000000000000000192e-04 9.599999999999999645e+00 9.986315512889636092e-02 7.989052410353747291e+01
4.000000000000000192e-04 1.019999999999999929e+01 9.716130317270542383e-02 7.772904253712520983e+01
4.000000000000000192e-04 1.079999999999999716e+01 9.459485258012814701e-02 7.567588206493225300e+01
4.000000000000000192e-04 1.140000000000000036e+01 9.221002433124812769e-02 7.376801946680500066e+01
