# Energy    MatrixElement
-4.9112341814e-01 3.9986916847e-30
-4.9100292089e-01 3.4331060821e-06
-4.9058929878e-01 4.6716532575e-30
-4.9046074168e-01 8.7118613820e-07
-4.8998417154e-01 2.9195188982e-30
-4.8994898177e-01 3.8626169850e-07
-4.8922896057e-01 1.3185978292e-05
-4.8812692347e-01 8.3195648230e-30
-4.8787415612e-01 1.7051403597e-05
-4.8785113503e-01 3.6426038332e-28
-4.8656723723e-01 9.1928483111e-06
-4.8620642139e-01 6.9514280412e-07
-4.8573914247e-01 1.1897131069e-06
-4.8524488425e-01 5.4549765359e-30
-4.8509872714e-01 1.4044363277e-29
-4.8490146244e-01 4.7585805577e-07
-4.8420292185e-01 1.2490036868e-29
-4.8413437257e-01 1.3637300496e-08
-4.8372766506e-01 4.8987842393e-07
-4.8340482213e-01 6.0960677820e-30
-4.8293733984e-01 1.4972091329e-06
-4.8216961549e-01 1.0201840319e-29
-4.8183146831e-01 1.9492860372e-05
-4.8106191408e-01 6.5162560968e-30
-4.8073541708e-01 1.4597228826e-09
-4.8066713635e-01 7.2023142912e-30
-4.8003664622e-01 6.0052085507e-08
-4.7886439657e-01 6.7880762919e-09
-4.7812314964e-01 2.6854177280e-07
-4.7772025249e-01 6.5820136825e-05
-4.7748536912e-01 4.1118413022e-29
-4.7744968799e-01 8.1643714275e-07
-4.7665216322e-01 1.6191165474e-29
-4.7512927651e-01 3.0249014307e-29
-4.7496157349e-01 6.1439128115e-29
-4.7488839767e-01 2.6691119300e-07
-4.7474562567e-01 1.7382444505e-28
-4.7452372486e-01 4.5171419994e-06
-4.7376011570e-01 1.4822721706e-05
-4.7345848286e-01 1.5524661800e-29
-4.7313914661e-01 1.9999076432e-28
-4.7284739175e-01 3.3249368108e-05
-4.7237373909e-01 1.7721834405e-29
-4.7137006048e-01 4.4465340704e-05
-4.7087464672e-01 3.7012958900e-28
-4.7054427738e-01 6.3898610409e-07
-4.7008462313e-01 1.0005646837e-27
-4.6961344718e-01 8.9598947350e-04
-4.6916334575e-01 1.3282088438e-03
-4.6881430784e-01 4.7675660572e-28
-4.6814093492e-01 1.4177775291e-27
-4.6808824542e-01 7.1520253399e-05
-4.6749487290e-01 3.4671816851e-04
-4.6651576365e-01 8.9126793462e-29
-4.6556834789e-01 2.0226811329e-05
-4.6466251402e-01 3.4712797966e-06
-4.6450269218e-01 1.2918297222e-27
-4.6421908178e-01 3.9626291085e-03
-4.6379672568e-01 1.2036759052e-06
-4.6293500735e-01 1.4976416445e-02
-4.6261082155e-01 1.1701034327e-27
-4.6227111844e-01 2.2326352267e-03
-4.6207736804e-01 5.0392470920e-28
-4.6125477683e-01 2.2051710203e-05
-4.6084455873e-01 8.1095981409e-29
-4.6012575403e-01 1.0308750170e-29
-4.5973511200e-01 6.4757656971e-07
-4.5957674731e-01 6.9709668051e-05
-4.5890438912e-01 5.0071431949e-29
-4.5790943533e-01 6.9573407316e-08
-4.5720600251e-01 1.1864378082e-29
-4.5616393261e-01 1.1172984643e-05
-4.5560277134e-01 1.0965659185e-29
-4.5517729217e-01 1.2138170192e-29
-4.5427986328e-01 3.5841601233e-29
-4.5370221159e-01 4.4943641011e-07
-4.5328911064e-01 9.9714906438e-30
-4.5321660148e-01 4.8168142795e-29
-4.5255709882e-01 6.7045491732e-29
-4.5204403642e-01 2.1660269673e-29
-4.5187732910e-01 5.5455551192e-05
-4.5128720187e-01 4.9562717794e-30
-4.5057993961e-01 5.8105372920e-30
